Promoter,Objective,Filter,Function,Strategy,Threshold,ID
ZEV,Induced strength,FALSE,Mean-sd,Evolution to threshold,1.65,14
ZEV,Induced strength,FALSE,Mean-sd,Gradient to threshold,1.65,18
ZEV,AR,FALSE,Mean,Screening,1.75,22
ZEV,AR,FALSE,Mean-sd,Screening,1.75,23
ZEV,AR,FALSE,Mean,Evolution to threshold,1.85,24
ZEV,AR,FALSE,Mean-sd,Evolution to threshold,1.85,25
ZEV,AR,TRUE,Mean,Evolution to threshold,1.85,26
ZEV,AR,TRUE,Mean-sd,Evolution to threshold,1.85,27
ZEV,AR,FALSE,Mean,Gradient to threshold,1.85,28
ZEV,AR,FALSE,Mean-sd,Gradient to threshold,1.85,29
ZEV,AR,TRUE,Mean,Gradient to threshold,1.85,30
ZEV,AR,TRUE,Mean-sd,Gradient to threshold,1.85,31
ZEV,AR,FALSE,Mean-sd,Gradient to threshold,2,32
